"id:ID","name","uri","crm_uri","uuid"
"1812","code","https://bc.d4k.dk/bc_instance/inclusion_criteria/test/coding/code","https://crm.d4k.dk/dataset/observation/test/coding/code","825ba988-4cd6-46ac-abad-e9c825c3bf32"
"1813","user selected","https://bc.d4k.dk/bc_instance/inclusion_criteria/test/coding/user_selected","https://crm.d4k.dk/dataset/observation/test/coding/user_selected","2d83299c-b7b3-46d9-b30c-bdf5172d24ec"
"1814","version","https://bc.d4k.dk/bc_instance/inclusion_criteria/test/coding/version","https://crm.d4k.dk/dataset/observation/test/coding/version","f5e0b2bc-7a32-4f47-9a3a-1e3f90a729f4"
"1815","system","https://bc.d4k.dk/bc_instance/inclusion_criteria/test/coding/system","https://crm.d4k.dk/dataset/observation/test/coding/system","4656beb6-018e-4d97-862c-d9474ebea116"
"1816","display","https://bc.d4k.dk/bc_instance/inclusion_criteria/test/coding/display","https://crm.d4k.dk/dataset/observation/test/coding/display","c34151b7-f647-4efa-9d87-941382e658bb"
"1817","value","https://bc.d4k.dk/bc_instance/inclusion_criteria/date_time/date_time/value","https://crm.d4k.dk/dataset/common/date_time/date_time/value","ab3487e9-10bc-4659-8883-78ffa31ec763"
"1818","value","https://bc.d4k.dk/bc_instance/inclusion_criteria/result/boolean/value","https://crm.d4k.dk/dataset/observation/observation_result/result/boolean/value","32772c1f-706c-41f7-a175-842ca6f7dd77"
"1819","code","https://bc.d4k.dk/bc_instance/exclusion_criteria/test/coding/code","https://crm.d4k.dk/dataset/observation/test/coding/code","43bf842e-dcfd-4776-9463-ba2107107f4a"
"1820","user selected","https://bc.d4k.dk/bc_instance/exclusion_criteria/test/coding/user_selected","https://crm.d4k.dk/dataset/observation/test/coding/user_selected","2a28e4fa-ea32-4cda-ac8e-1045d73ce45f"
"1821","version","https://bc.d4k.dk/bc_instance/exclusion_criteria/test/coding/version","https://crm.d4k.dk/dataset/observation/test/coding/version","8c2faaba-a74b-4e4f-a8f7-04286e3b0e35"
"1822","system","https://bc.d4k.dk/bc_instance/exclusion_criteria/test/coding/system","https://crm.d4k.dk/dataset/observation/test/coding/system","f83b380e-5687-4b04-abd8-6fb98dab4209"
"1823","display","https://bc.d4k.dk/bc_instance/exclusion_criteria/test/coding/display","https://crm.d4k.dk/dataset/observation/test/coding/display","dfbf95a1-4ed5-4f72-b15d-04e1d3be4deb"
