"id:ID","uuid","cl","cli","term_uri","notation","pref_label"
"852","026b2bec-5cc0-4ff1-b8c5-1ca49f2f44be","C65047","C64853","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64853","K","Potassium Measurement"
"853","6b19826d-b012-49ef-87f2-72a18a08a8e1","C71620","C67474","https://ct.d4k.dk/cdisc/dataset/sc/2011-06-10/sdtm/C71620/C67474","mEq/L","Milliequivalent per Liter"
"854","673a6c39-1c89-4ea8-b7d5-4166a1e8673d","C71620","C67473","https://ct.d4k.dk/cdisc/dataset/sc/2013-12-20/sdtm/C71620/C67473","mEq/dL","Milliequivalent per Deciliter"
"855","9841ce2b-f4d1-4f35-a02c-b9b8852cd316","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"856","ef885c8c-3f60-47ef-870f-e65944d816ae","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"857","484d672d-031a-401e-9fb0-db624e38637c","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"858","46e3bc97-aff3-40ab-a20a-e66bc6b4319f","C66741","C25299","https://ct.d4k.dk/cdisc/dataset/sc/2016-09-30/sdtm/C66741/C25299","DIABP","Diastolic Blood Pressure"
"859","1aa70151-277e-42bd-8ba8-e6319f9d368e","C71148","C62122","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62122","SITTING","Sitting"
"860","ed05b7e9-b71b-4599-8ca1-50789fbe036a","C71148","C62166","https://ct.d4k.dk/cdisc/dataset/sc/2019-12-20/sdtm/C71148/C62166","STANDING","Standing"
"861","6479df98-76fc-420f-a892-c1e922e00958","C71148","C62167","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62167","SUPINE","Supine Position"
"862","07708c0b-8e0f-4574-bc4c-bed0fda9ef8e","C74456","C12681","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12681","BRACHIAL ARTERY","Brachial Artery"
"863","421b3670-5b93-4240-bb23-78e9fdf3c1cb","C74456","C32478","https://ct.d4k.dk/cdisc/dataset/sc/2020-09-25/sdtm/C74456/C32478","DORSALIS PEDIS ARTERY","Dorsalis Pedis Artery"
"864","5dfbaa23-4851-47f8-a279-53cbff66ea06","C74456","C12715","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12715","FEMORAL ARTERY","Femoral Artery"
"865","2247f230-7f1e-4a6f-99cb-79c48ad3b904","C99073","C25229","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25229","LEFT","Left"
"866","4c69a652-43db-4bd7-8303-5b747d75c889","C99073","C25228","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25228","RIGHT","Right"
"867","b7d12b79-b8bc-4eaf-9ded-c6738df530f1","C65047","C64809","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64809","SODIUM","Sodium Measurement"
"868","49f566b9-2a54-4fc7-b23d-18c870ff8ea4","C71620","C67474","https://ct.d4k.dk/cdisc/dataset/sc/2011-06-10/sdtm/C71620/C67474","mEq/L","Milliequivalent per Liter"
"869","416e84f6-af04-4fe8-8a25-c53c96908714","C71620","C67473","https://ct.d4k.dk/cdisc/dataset/sc/2013-12-20/sdtm/C71620/C67473","mEq/dL","Milliequivalent per Deciliter"
"870","7b4a332b-025f-4f4e-b9ab-d056111e3d3c","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"871","fa9c8e38-7e2d-4e94-b5ba-e1eb01e06d42","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"872","65114a13-7cd7-4a75-b439-7f8650daa74e","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"873","ab927929-b455-404c-be48-f70bea2e91bd","C65047","C105585","https://ct.d4k.dk/cdisc/dataset/sc/2013-04-12/sdtm/C65047/C105585","GLUC","Glucose Measurement"
"874","ed16c804-cf0a-4fbc-aff2-8076e95a7c45","C71620","C67015","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C67015","mg/dL","Milligram per Deciliter"
"875","05c64f31-5f72-4dd6-95aa-0602ca5e4296","C71620","C42576","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C42576","g/L","Kilogram per Cubic Meter"
"876","be1d3606-015f-4af3-969b-d19fa19296e2","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"877","83f24906-3a25-42de-8551-1aa7e444d5c6","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"878","5610d088-7245-4326-b9c1-f2aab24caee9","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"879","1ab5ee7f-d065-4c36-97e0-f996cc4c8ff0","C66741","C25298","https://ct.d4k.dk/cdisc/dataset/sc/2016-09-30/sdtm/C66741/C25298","SYSBP","Systolic Blood Pressure"
"880","7fe7b8f9-8afa-46ed-b009-83c7e412a50b","C71148","C62122","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62122","SITTING","Sitting"
"881","fcfd6d25-4a76-4583-aa65-cd3b2321577d","C71148","C62166","https://ct.d4k.dk/cdisc/dataset/sc/2019-12-20/sdtm/C71148/C62166","STANDING","Standing"
"882","ef2d0dc1-67b0-4e4f-ab1e-d6c3dd92e135","C71148","C62167","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62167","SUPINE","Supine Position"
"883","a2065fe8-0032-46e7-af2e-b7e73d7784ad","C74456","C12681","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12681","BRACHIAL ARTERY","Brachial Artery"
"884","ac411271-5ad7-4aaa-bf9c-6b84c3f2e897","C74456","C32478","https://ct.d4k.dk/cdisc/dataset/sc/2020-09-25/sdtm/C74456/C32478","DORSALIS PEDIS ARTERY","Dorsalis Pedis Artery"
"885","07a0be0a-579a-40ca-a05a-5d3ff6c17a28","C74456","C12715","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12715","FEMORAL ARTERY","Femoral Artery"
"886","e4297c20-4521-40f5-8fd7-ea1498804634","C99073","C25229","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25229","LEFT","Left"
