"id:ID","version","version_label","identifier","semantic_version","uuid"
"1057","1","1","BASE OBSERVATION","1.0.0","5a8688c6-1eed-4d0a-b89d-16cd4b64fca8"
"1058","1","1","BASE LABORATORY","1.0.0","3661095c-7424-4463-92bd-d046ff957044"
"1059","1","1","EVENT OBSERVATION","1.0.0","ff5b8923-9379-45ce-a521-2388575e7361"
"1060","1","1","INTERVENTION","1.0.0","a3c18836-aa91-45b9-b690-175c094b2aea"
"1061","1","1","MEDICAL EVENT OBSERVATION","1.0.0","600a7eae-478d-461d-9d8b-babd69137e27"
"1062","1","1","POTASSIUM CONCENTRATION IN SERUM/PLASMA","1.0.0","b3975012-c18b-47fa-8e45-453a9096bf2b"
"1063","1","1","DIASTOLIC BLOOD PRESSURE","1.0.0","ed88c813-f4d3-43f8-be3e-5fbb3c9717cb"
"1064","1","1","SODIUM CONCENTRATION IN URINE","1.0.0","2a31ae40-df54-4abe-b8fa-1c84762b5964"
"1065","1","1","GLUCOSE CONCENTRATION IN SERUM","1.0.0","06aafceb-9622-410e-b0bd-07626050247a"
"1066","1","1","SYSTOLIC BLOOD PRESSURE","1.0.0","5e2f9270-e0db-422b-93a7-dec64da5644e"
"1067","1","1","BASOPHIL CONCENTRATION IN BLOOD","1.0.0","9d6cc50b-b33a-468d-8d6e-109e19d5c332"
"1068","1","1","GLUCOSE IN URINE BY DIPSTICK","1.0.0","2c2bc0f6-3ce5-46a5-a358-50c5cf2f7b82"
"1069","1","1","WEIGHT","1.0.0","93b9c67c-e2a4-4f8d-b5b8-0f8398018ff9"
"1070","1","1","SODIUM CONCENTRATION IN BLOOD","1.0.0","2fe317b8-344e-4366-bb9c-478fe833cc85"
"1071","1","1","HEIGHT","1.0.0","4fd47853-bdd6-4dea-a79c-9f0ab554a13d"
"1072","1","1","ALANINE AMINOTRANSFERASE CONCENTRATION IN SERUM/PLASMA","1.0.0","3b49f6ac-7351-44ab-8ca1-90d1307f00d3"
"1073","1","1","HEART RATE","1.0.0","6cb25e0f-34b9-4a87-a676-866d38025a36"
"1074","1","1","POTASSIUM CONCENTRATION IN BLOOD","1.0.0","6c5f61fb-3f34-4dc0-9283-9df63561656f"
"1075","1","1","PULSE","1.0.0","b596ef74-f648-44d6-9ebd-6b96fb17de87"
"1076","1","1","GLUCOSE CONCENTRATION IN PLASMA","1.0.0","5e7bef84-7035-4856-b1a1-07a409284e5c"
"1077","1","1","RESPIRATORY RATE","1.0.0","8992f66e-863b-461f-89bf-13896fcbaff1"
"1078","1","1","SODIUM CONCENTRATION IN SERUM/PLASMA","1.0.0","e5d40cb7-71e9-48b3-8564-2ca6c4b812e9"
"1079","1","1","ALBUMIN CONCENTRATION IN SERUM/PLASMA","1.0.0","ac1df102-3849-4ce4-8260-302805cd35d1"
"1080","1","1","BODY MASS INDEX","1.0.0","29c8442b-cb4f-41ac-8aed-aff3a7661a22"
"1081","1","1","GLUCOSE CONCENTRATION IN BLOOD","1.0.0","00790ac3-4670-4d12-8df6-b1acbca41d87"
"1082","1","1","GLUCOSE CONCENTRATION IN URINE","1.0.0","055b2ead-857e-4d09-887a-e11e92b9cbd7"
"1083","1","1","TEMPERATURE","1.0.0","4a47096e-c71b-42bd-b189-2bb99e5bb36b"
"1084","1","1","CREATININE CONCENTRATION IN URINE","1.0.0","1391e5aa-9115-4a01-af01-e834b07d290f"
"1085","1","1","ALBUMIN CONCENTRATION IN URINE","1.0.0","266ad5a8-8675-4926-b0e4-0921d4d88588"
"1086","1","1","CREATININE CONCENTRATION IN SERUM/PLASMA","1.0.0","c7d4aaee-3776-4668-9d5d-2d8c2e1ccca4"
"1087","1","1","ASPARTATE AMINOTRANSFERASE IN SERUM/PLASMA","1.0.0","cd64615a-011a-430b-83ff-a88d567871fc"
"1088","1","1","WAIST CIRCUMFERENCE","1.0.0","7d491e6b-cf7e-432d-bf34-32fe543e9222"
"1089","1","1","HEMOGLOBIN IN BLOOD BY DIPSTICK","1.0.0","01964d5c-3c34-4013-8a1d-bebb94a65ab1"
"1090","1","1","HEMOGLOBIN CONCENTRATION IN BLOOD","1.0.0","e2c4f663-136e-4e44-99b8-54f56ebd6665"
"1091","1","1","FRAME SIZE","1.0.0","a969da98-df88-40d5-bc20-16d48847e17f"
"1092","1","1","ALKALINE PHOSPHATASE CONCENTRATION IN SERUM/PLASMA","1.0.0","c8ca9ebb-9ad9-4e9a-973d-1ae19d665726"
"1093","1","1","POTASSIUM CONCENTRATION IN URINE","1.0.0","54a23641-8ff1-459b-aee6-a145468ebd5e"
