"id:ID","cl","cli","uri"
"287","D000001","D100005","http://id.d4k.dk/dataset/bc_instance/exposure/drug_exposure/coding/d000001-d100005"
"288","D000001","D100004","http://id.d4k.dk/dataset/bc_instance/adverse_event/event_type/coding/d000001-d100004"
"289","C65047","C105585","http://id.d4k.dk/dataset/bc_instance/glucose/test/coding/c65047-c105585"
"290","C78734","C13283","http://id.d4k.dk/dataset/bc_instance/glucose/specimen/coding/c78734-c13283"
"291","C78734","C13325","http://id.d4k.dk/dataset/bc_instance/glucose/specimen/coding/c78734-c13325"
"292","C78734","C12434","http://id.d4k.dk/dataset/bc_instance/glucose/specimen/coding/c78734-c12434"
"293","C71620","C25613","http://id.d4k.dk/dataset/bc_instance/glucose/result/quantity/c71620-c25613"
"294","C71620","C111253","http://id.d4k.dk/dataset/bc_instance/glucose/result/quantity/c71620-c111253"
"295","C65047","C105585","http://id.d4k.dk/dataset/bc_instance/glucose_in_blood/test/coding/c65047-c105585"
"296","C78734","C12434","http://id.d4k.dk/dataset/bc_instance/glucose_in_blood/specimen/coding/c78734-c12434"
"297","C71620","C25613","http://id.d4k.dk/dataset/bc_instance/glucose_in_blood/result/quantity/c71620-c25613"
"298","C71620","C111253","http://id.d4k.dk/dataset/bc_instance/glucose_in_blood/result/quantity/c71620-c111253"
"299","C65047","C105585","http://id.d4k.dk/dataset/bc_instance/glucose_in_serum/test/coding/c65047-c105585"
"300","C78734","C13325","http://id.d4k.dk/dataset/bc_instance/glucose_in_serum/specimen/coding/c78734-c13325"
"301","C71620","C25613","http://id.d4k.dk/dataset/bc_instance/glucose_in_serum/result/quantity/c71620-c25613"
"302","C71620","C111253","http://id.d4k.dk/dataset/bc_instance/glucose_in_serum/result/quantity/c71620-c111253"
"303","C65047","C105585","http://id.d4k.dk/dataset/bc_instance/glucose_in_urine/test/coding/c65047-c105585"
"304","C78734","C13283","http://id.d4k.dk/dataset/bc_instance/glucose_in_urine/specimen/coding/c78734-c13283"
"305","C71620","C25613","http://id.d4k.dk/dataset/bc_instance/glucose_in_urine/result/quantity/c71620-c25613"
"306","C71620","C111253","http://id.d4k.dk/dataset/bc_instance/glucose_in_urine/result/quantity/c71620-c111253"
"307","D000001","D100001","http://id.d4k.dk/dataset/bc_instance/race/test/coding/d000001-d100001"
"308","C74457","C16352","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c16352"
"309","C74457","C41259","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c41259"
"310","C74457","C41260","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c41260"
"311","C74457","C41219","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c41219"
"312","C74457","C41261","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c41261"
"313","C74457","C17998","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c17998"
"314","C74457","C43234","http://id.d4k.dk/dataset/bc_instance/race/result/coding/c74457-c43234"
"315","D000001","D100002","http://id.d4k.dk/dataset/bc_instance/sex/test/coding/d000001-d100002"
"316","C66731","C16576","http://id.d4k.dk/dataset/bc_instance/sex/result/coding/c66731-c16576"
"317","C66731","C20197","http://id.d4k.dk/dataset/bc_instance/sex/result/coding/c66731-c20197"
"318","C66731","C45908","http://id.d4k.dk/dataset/bc_instance/sex/result/coding/c66731-c45908"
"319","C66731","C17998","http://id.d4k.dk/dataset/bc_instance/sex/result/coding/c66731-c17998"
"320","D000001","D100000","http://id.d4k.dk/dataset/bc_instance/age/test/coding/d000001-d100000"
"321","C66781","C25301","http://id.d4k.dk/dataset/bc_instance/age/result/quantity/c66781-c25301"
"322","C66781","C25529","http://id.d4k.dk/dataset/bc_instance/age/result/quantity/c66781-c25529"
"323","C66781","C29846","http://id.d4k.dk/dataset/bc_instance/age/result/quantity/c66781-c29846"
"324","C66781","C29844","http://id.d4k.dk/dataset/bc_instance/age/result/quantity/c66781-c29844"
"325","C66781","C29848","http://id.d4k.dk/dataset/bc_instance/age/result/quantity/c66781-c29848"
"326","D000001","D100003","http://id.d4k.dk/dataset/bc_instance/ethnicity/test/coding/d000001-d100003"
"327","C66790","C17459","http://id.d4k.dk/dataset/bc_instance/ethnicity/result/coding/c66790-c17459"
"328","C66790","C41222","http://id.d4k.dk/dataset/bc_instance/ethnicity/result/coding/c66790-c41222"
"329","C66790","C43234","http://id.d4k.dk/dataset/bc_instance/ethnicity/result/coding/c66790-c43234"
"330","C66790","C17998","http://id.d4k.dk/dataset/bc_instance/ethnicity/result/coding/c66790-c17998"
"331","C66741","C25208","http://id.d4k.dk/dataset/bc_instance/weight/test/coding/c66741-c25208"
"332","C66770","C28252","http://id.d4k.dk/dataset/bc_instance/weight/result/quantity/c66770-c28252"
"333","C66770","C48531","http://id.d4k.dk/dataset/bc_instance/weight/result/quantity/c66770-c48531"
